title,type,release_year,age_certification,target
The Wizard of Oz,MOVIE,1939,G,3
Citizen Kane,MOVIE,1941,PG,2
Casablanca,MOVIE,1942,PG,2
The Big Sleep,MOVIE,1946,G,0
The Maltese Falcon,MOVIE,1941,G,0
Gone with the Wind,MOVIE,1939,G,2
Tom and Jerry,SHOW,1940,G,3
The Treasure of the Sierra Madre,MOVIE,1948,G,2
The Asphalt Jungle,MOVIE,1950,G,0
The Philadelphia Story,MOVIE,1940,G,3
Rashomon,MOVIE,1950,G,2
The Red Shoes,MOVIE,1948,G,2
Stagecoach,MOVIE,1939,G,2
M,MOVIE,1931,PG-13,0
Freaks,MOVIE,1932,G,2
The Great Dictator,MOVIE,1940,G,4
The 39 Steps,MOVIE,1935,G,0
The Lady Vanishes,MOVIE,1938,G,0
Bicycle Thieves,MOVIE,1948,G,2
The Passion of Joan of Arc,MOVIE,1928,G,2
City Lights,MOVIE,1931,G,4
Häxan,MOVIE,1922,G,1
King Kong,MOVIE,1933,G,3
Black Narcissus,MOVIE,1947,G,2
To Be or Not to Be,MOVIE,1942,G,4
Great Expectations,MOVIE,1946,G,2
Modern Times,MOVIE,1936,G,4
The Life and Death of Colonel Blimp,MOVIE,1943,G,2
Brief Encounter,MOVIE,1945,G,2
42nd Street,MOVIE,1933,G,4
"Now, Voyager",MOVIE,1942,G,2
The Public Enemy,MOVIE,1931,G,2
The Most Dangerous Game,MOVIE,1932,G,0
Vampyr,MOVIE,1932,G,3
Late Spring,MOVIE,1949,G,2
Adam's Rib,MOVIE,1949,G,4
The Man Who Knew Too Much,MOVIE,1934,G,0
Hamlet,MOVIE,1948,G,2
"Rome, Open City",MOVIE,1945,G,0
The Letter,MOVIE,1940,G,2
Mutiny on the Bounty,MOVIE,1935,G,2
Sergeant York,MOVIE,1941,G,2
Safety Last!,MOVIE,1923,G,3
Battleship Potemkin,MOVIE,1925,G,2
The Gay Divorcee,MOVIE,1934,G,3
Sabotage,MOVIE,1937,G,0
The Gold Rush,MOVIE,1925,G,4
The Kid,MOVIE,1921,G,4
Beauty and the Beast,MOVIE,1946,G,2
Foreign Correspondent,MOVIE,1940,G,0
The Lodger: A Story of the London Fog,MOVIE,1927,G,0
A Trip to the Moon,MOVIE,1902,G,3
The Thief of Bagdad,MOVIE,1940,G,3
Captains Courageous,MOVIE,1937,G,2
The Testament of Dr. Mabuse,MOVIE,1933,G,0
Jezebel,MOVIE,1938,G,2
Odd Man Out,MOVIE,1947,G,0
Oliver Twist,MOVIE,1948,G,2
The Naked City,MOVIE,1948,G,0
